2025-12-07 01:43:07 | INFO     | infra.database       | _init_database       | Database initialized at D:\AI\Profiler\infra\profiler_data.db
2025-12-07 01:43:07 | INFO     | httpx                | _send_single_request | HTTP Request: HEAD https://huggingface.co/api/telemetry/https%3A/api.gradio.app/gradio-initiated-analytics "HTTP/1.1 200 OK"
2025-12-07 01:43:07 | INFO     | httpx                | _send_single_request | HTTP Request: GET http://localhost:7861/gradio_api/startup-events "HTTP/1.1 200 OK"
2025-12-07 01:43:07 | INFO     | httpx                | _send_single_request | HTTP Request: HEAD http://localhost:7861/ "HTTP/1.1 200 OK"
2025-12-07 01:43:07 | INFO     | httpx                | _send_single_request | HTTP Request: HEAD https://huggingface.co/api/telemetry/https%3A/api.gradio.app/gradio-launched-telemetry "HTTP/1.1 200 OK"
2025-12-07 01:43:08 | INFO     | httpx                | _send_single_request | HTTP Request: GET https://api.gradio.app/pkg-version "HTTP/1.1 200 OK"
2025-12-07 01:43:24 | INFO     | infra.cache_manager  | invalidate           | Cleared entire cache (0 entries)
2025-12-07 01:43:31 | INFO     | analysis             | analysis_start       | [PROF-20251207-014331-213] ANALYSIS START: C:\Users\Greg\AppData\Local\Temp\gradio\dfe1742422bf05b6d126318fc84479c07d63a7ced0a9fd41b07b97cbb575fdb1\Cobie-cropped.mp4
2025-12-07 01:43:31 | INFO     | profiler             | profile_video        | Video loaded: 158.0s, 1280x720, 72.5MB base64
2025-12-07 01:43:33 | INFO     | profiler             | profile_video        | Mugshot captured from video
2025-12-07 01:44:15 | INFO     | analysis.blink_detector | detect_blinks        | Blink detection stats: avg_EAR=0.610, min_EAR=0.108, face_detected=99.3%, threshold=0.25
2025-12-07 01:44:15 | INFO     | profiler             | profile_video        | CV blink detection: 26 blinks, 9.9 BPM
2025-12-07 01:44:15 | INFO     | media.transcription  | transcribe_audio     | Starting transcription with model: google/gemini-3-pro-preview
2025-12-07 01:44:15 | INFO     | api_client           | analyze_audio        | Audio analysis with model: google/gemini-3-pro-preview
2025-12-07 01:44:21 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:44:45 | INFO     | media.transcription  | transcribe_audio     | Transcription complete: 468 words
2025-12-07 01:44:45 | INFO     | core.modular_executor | run_stage_zero       | Starting Stage 0 (Subject ID, Baseline, Deepfake) with 3 sub-analyses
2025-12-07 01:44:45 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:44:45 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:44:45 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:45:42 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:45:45 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:45:48 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 503 Service Temporarily Unavailable"
2025-12-07 01:45:48 | INFO     | openai._base_client  | _sleep_for_retry     | Retrying request to /chat/completions in 0.496830 seconds
2025-12-07 01:46:02 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'deepfake_detection' completed in 76.66s
2025-12-07 01:46:06 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'subject_identification' completed in 81.09s
2025-12-07 01:46:20 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:46:39 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'baseline_establishment' completed in 113.91s
2025-12-07 01:46:39 | INFO     | core.modular_executor | _run_parallel_sub_analyses | Stage 'stage_zero' completed in 113.94s with 3/3 successful
2025-12-07 01:46:39 | INFO     | core.modular_executor | run_full_pipeline    | Baseline established (2512 chars) - will inform subsequent analyses
2025-12-07 01:46:39 | INFO     | core.modular_executor | run_visual_analysis  | Starting visual analysis with 4 sub-analyses (native video)
2025-12-07 01:46:39 | INFO     | core.modular_executor | run_visual_analysis  | Baseline context injected into kinesic event log prompt
2025-12-07 01:46:39 | INFO     | core.modular_executor | run_visual_analysis  | CV blink data injected into blink_rate prompt for LLM interpretation
2025-12-07 01:46:39 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:46:39 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:46:39 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:46:39 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:47:43 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:47:44 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:47:46 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:48:01 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 503 Service Temporarily Unavailable"
2025-12-07 01:48:01 | INFO     | openai._base_client  | _sleep_for_retry     | Retrying request to /chat/completions in 0.465405 seconds
2025-12-07 01:48:13 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'archetype' completed in 94.02s
2025-12-07 01:48:14 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'blink_rate' completed in 94.90s
2025-12-07 01:48:32 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'congruence' completed in 113.35s
2025-12-07 01:48:35 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:49:03 | INFO     | core.modular_executor | _run_sub_analysis    | Sub-analysis 'kinesic_log' completed in 143.81s
2025-12-07 01:49:03 | INFO     | core.modular_executor | _run_parallel_sub_analyses | Stage 'visual' completed in 143.81s with 4/4 successful
2025-12-07 01:49:03 | INFO     | core.modular_executor | run_full_pipeline    | Extracted visual context (2030 chars) for audio cross-pollination
2025-12-07 01:49:03 | INFO     | core.modular_executor | run_multimodal_analysis | Starting multimodal analysis with 4 sub-analyses (native video)
2025-12-07 01:49:03 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:49:03 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:49:03 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:49:03 | INFO     | api_client           | analyze_with_multimodal | Multimodal analysis with model: google/gemini-3-pro-preview
2025-12-07 01:50:20 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:50:23 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-07 01:50:33 | INFO     | httpx                | _send_single_request | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 503 Service Temporarily Unavailable"
2025-12-07 01:50:33 | INFO     | openai._base_client  | _sleep_for_retry     | Retrying request to /chat/completions in 0.499354 seconds
